Demand for Pakistan Visas Sets Off Deadly Stampede in Afghanistan;10
A Regulatory Rush by Federal Agencies to Secure Trump’s Legacy;10
Cyprus Ends ‘Golden Passport’ Program After Corruption Accusations;10
Trump Moves to Tighten Visa Access for High-Skilled Foreign Workers;10
Trump Cracks Down on Visas. Indian Firms May Benefit.;10
Judge Blocks Trump’s Ban on Foreign Workers;10
Computing Pioneers Endorse Biden, Citing Trump Immigration Crackdown;9
China Freezes Credentials for Journalists at U.S. Outlets, Hinting at Expulsions;9
Help! I’m Abroad and My Visa Is About to Run Out;8
17 States Sue to Block Student Visa Rules;7
U.S. Rescinds Plan to Strip Visas From International Students in Online Classes;7
India Offers Escape to Afghan Hindus and Sikhs Facing Attacks;7
As Universities Seek to Block Visa Rules, Trump Threatens Tax Status;7
Trump Appointee Might Not Extend Visas for Foreign Journalists at V.O.A.;7
Harvard and M.I.T. Sue to Stop Trump Visa Rules for Foreign Students;7
Trump Visa Rules Seen as Way to Pressure Colleges on Reopening;7
‘Maybe I Shouldn’t Have Come’: U.S. Visa Changes Leave Students in Limbo;7
The Visas and the Fury;6
Companies Criticize Visa Suspensions, but Impact May Be Muted for Now;6
The Great Au Pair Rush;7
Trump Suspends Visas Allowing Hundreds of Thousands of Foreigners to Work in the U.S.;6
Businesses Brace for Possible Limits on Foreign Worker Visas;6
U.S. Wants to Bar Members of China’s Communist Party. Who Are They?;7
Kicked Out of China, and Other Real-Life Costs of a Geopolitical Meltdown;7
U.S. Weighs Sweeping Travel Ban on Chinese Communist Party Members;7
I’m the President of M.I.T. America Needs Foreign Students.;7
Trump Moves to Block Visas for Pregnant Women on ‘Birth Tourism’;1
Our Cash-Free Future Is Getting Closer;7
Duterte Orders Cabinet Not to Visit U.S. After Official’s Visa Is Denied;1
Australia Halts Hong Kong Extradition Agreement and Extends Visas;7
U.S. to Expel Chinese Graduate Students With Ties to China’s Military Schools;5
Visa Waivers, Vouchers, Flight Discounts and Other Travel Lures;7
Foreign Visas, Virus, Seattle: Your Monday Evening Briefing;6
Trump Says Countries Must Accept Deportees or Lose Visas;4
U.S. Visas, China’s Economy, Street Musicians: Your Friday Briefing;7
Student Visas, China, Cake Memes: Your Tuesday Evening Briefing;7
U.S.-China Tensions, Huawei, Student Visas: Your Wednesday Briefing;7
American Journalist Is Arrested in Indonesia Over Visa Issue;1
As Supreme Court Mulls Dreamers, Kushner Revives Immigration Plan;3
Indonesia Deports U.S. Journalist Jailed Over Visa Issue;2
U.S. Hits Back at China With New Visa Restrictions on Journalists;5
Immigration Officers Face Furloughs as Visa Applications Plunge;7
Indonesia Releases U.S. Journalist Detained Over Visa Issue;1
Immigration Agency That Issues Visas, Green Cards Struggles to Stay Afloat;5
The Activist Investor Done With Finance;6
An Immigrant From Brazil Has Changed Lives as a Coach. Is That Enough to Stay in the U.S.?;2
The Lapses That Let a Saudi Extremist Shoot Up a U.S. Navy Base;6
Iranian Student Turned Back at Airport, Sparking Protest;1
Portugal Honors a Diplomat Who Saved Jews From the Nazis;6
For Migrants in Russia, Virus Means No Money to Live and No Way to Leave;6
Do My Tweets Really Threaten China’s National Security?;5
They Lost Their Jobs. Now They May Have to Leave the U.S.;5
An Adoption, a Pandemic and an Evacuation;5
‘My World Is Shattering’: Foreign Students Stranded by Coronavirus;4
For Indian Diaspora, Panic and Anger Over Trump’s Immigration Plans;4
Trump Halts New Green Cards, but Backs Off Broader Immigration Ban;4
Beware the Fees That Come With Some Money Transfers on Apps;4
Trump’s Temporary Halt to Immigration Is Part of Broader Plan, Stephen Miller Says;4
Trump Plans to Suspend Immigration to U.S.;4
Foreign Doctors Could Help Fight Coronavirus. But U.S. Blocks Many.;4
To Slow Virus, China Bars Entry by Almost All Foreigners;3
Au Pairs Caught Between Work and a Pandemic;4
U.S. Limits Chinese Staff at News Agencies Controlled by Beijing;3
Nigeria ‘Blindsided’ by Trump Travel Ban, Its Top Diplomat Says;2
Rules Eased on Colleges Seeking to Close Their Campuses Amid Outbreak;3
Forensic Architecture Founder Says United States Prevented His Visit;2
Executive Order Halting New Green Cards Includes Exceptions;4
Thinking of Moving Abroad? Here Are Five Things to Know Before You Go;2
‘Quezon’s Game’ Review: In the Philippines, a Refuge From the Nazis;1
Nigerians in New York Worry Expanded Travel Ban Will Hurt Family Ties;2
No, Mr. President, Your Immigration Powers Are Not Unlimited;4
Trump Administration Adds Six Countries to Travel Ban;1
Hong Kong Officials Condemn and Mock Trump Administration Sanctions;8
Trump Administration Moves to Solidify Restrictive Immigration Policies;6
New U.S. Travel Ban Shuts Door on Africa’s Biggest Economy, Nigeria;2
New Immigration Limits Cause Anxiety in Families and Businesses;4
Brought Together by a Friendly Cupid;9
‘Demeaned and Humiliated’: What Happened to These Iranians at U.S. Airports;1
Emiratis Land in Israel, Firming New Ties and Angering Palestinians;10
U.S. Designates Four More Chinese News Organizations as Foreign Missions;6
Why Work From Home When You Can Work From Barbados, Bermuda or … Estonia?;8
How Brexit Will Affect Travel to the U.K. and Europe;1
As Trump Barricades the Border, Legal Immigration Is Starting to Plunge;2
Refugee and Author Long Detained by Australia Gets Asylum in New Zealand;7
‘Now we feel powerful:’ Au pairs are seeing newfound choice when picking families.;7
U.S. Tweets Support for Iranian Chess Official, but Ban Wouldn’t Let Her In;2
President Trump, I Am Not Your Enemy. I Am a Doctor.;5
Trump Uses Kids Sold Into Sex Slavery to Score Political Points;2
Asylum Seekers Find a New Route to Europe, Flowing Into a Divided Cyprus;1
Trump Posts Another ‘Keep Out’ Sign for Immigrants;2
China Threatens to Detain Americans if U.S. Prosecutes Chinese Scholars;10
Trump Administration Penalizes Hong Kong Officials for Crackdown on Protesters;8
U.K.’s New Immigration Rules Will Restrict Low-Skilled Workers;2
China Announces That It Will Expel American Journalists;3
Hajj, Novak Djokovic, Europe Travel: Your Wednesday Briefing;6
China Expels 3 Wall Street Journal Reporters as Media Relations Sour;2
Who Will Face Mitch McConnell in November?;6
A Case for Paying With Your Phone;2
Death of Detained Ukrainian Causes Uproar in Portugal;12
The U.S. Tried to Teach China a Lesson About the Media. It Backfired.;4
Take a Year Off and Travel Without Going Broke;2
Dispatch from a Locked-Down Melbourne;7
Indonesian Defense Chief, Accused of Rights Abuses, Will Visit Pentagon;10
Why the U.S. Chamber of Commerce Is Suing the Trump Administration;7
Boris Johnson Pledges to Admit 3 Million From Hong Kong to U.K.;6
Your Thursday Briefing;7
From Iraq, an Intimate Glimpse of the Religious Holiday of Arbaeen;11
China Imposes Tit-for-Tat Sanctions on Three American Lawmakers;7
Ousting U.S. Reporters, China Signals Confidence in Its Own Message;3
Your Friday Briefing;11
Stateless, She Became the Face of a Largely Invisible Plight;12
Virus Forces Persian Gulf States to Reckon With Migrant Labor;5
‘An Eviction Notice’: Chaos After Colleges Tell Students to Stay Away;3
‘Blatant Misogyny’: U.S. Women Protest, and U.S. Soccer President Resigns;3
Lesson of the Day: ‘Trump Administration Adds Six Countries to Travel Ban’;2
Former Arizona Official Pleads Guilty in Adoption Scheme;6
Under Armour’s C.E.O. marks his first election as a U.S. citizen with a voting drive.;9
Hong Kong Journalist Arrested After Investigating Police Misconduct;11
State Department Bars Chinese Officials Who Restrict Access to Tibet;7
The Week in Business: Getting Vaccines From Here to There;12
Trump Administration Considers Punishing Chinese News Organizations;2
