apple;20
microsoft;18
amazon;19
facebook;18
google;18
nvidia;20
tesla;15
berkshire hathaway;19
jpmorgan chase;20
johnson & johnson;12
unitedhealth;20
visa;14
procter & gamble;18
home depot;20
paypal;14
disney;19
adobe;17
bank of america;20
mastercard;12
comcast;20
pfizer;13
netflix;18
salesforce;19
cisco;20
exxon mobil;15
verizon;9
abbott laboratories;10
thermo fisher scientific;20
coca-cola;12
accenture;11
pepsico;10
intel;15
danaher;20
nike;15
eli lilly;19
walmart;6
costco;10
broadcom;20
abbvie;20
at&t;14
merck & co;20
chevron;15
wells fargo;20
medtronic;13
mcdonalds;20
texas instruments;12
nextera energy;20
philip morris;16
oracle;20
apple;40
microsoft;30
amazon;30
facebook;20
google;28
nvidia;33
tesla;32
berkshire hathaway;33
jpmorgan chase;40
johnson & johnson;24
unitedhealth;40
visa;30
procter & gamble;30
home depot;36
paypal;30
disney;31
adobe;32
bank of america;21
mastercard;30
comcast;37
pfizer;30
netflix;30
salesforce;30
cisco;40
exxon mobil;29
verizon;24
abbott laboratories;30
thermo fisher scientific;36
coca-cola;30
accenture;30
pepsico;25
intel;30
danaher;40
nike;30
eli lilly;30
walmart;20
costco;28
broadcom;40
abbvie;39
at&t;30
merck & co;37
chevron;31
wells fargo;40
medtronic;26
mcdonalds;22
texas instruments;18
nextera energy;33
philip morris;31
oracle;40
apple;49
microsoft;40
amazon;44
facebook;38
google;40
nvidia;49
tesla;42
berkshire hathaway;43
jpmorgan chase;49
johnson & johnson;37
unitedhealth;49
visa;42
procter & gamble;49
home depot;49
paypal;40
disney;46
adobe;49
bank of america;40
mastercard;48
comcast;49
pfizer;40
netflix;44
salesforce;49
cisco;49
exxon mobil;40
verizon;24
abbott laboratories;48
thermo fisher scientific;49
coca-cola;40
accenture;45
pepsico;41
intel;49
danaher;49
nike;48
eli lilly;49
walmart;40
costco;41
broadcom;49
abbvie;49
at&t;49
merck & co;49
chevron;41
wells fargo;49
medtronic;36
mcdonalds;40
texas instruments;30
nextera energy;49
philip morris;49
oracle;49
apple;49
microsoft;49
amazon;49
facebook;49
google;49
nvidia;49
tesla;49
berkshire hathaway;49
jpmorgan chase;49
johnson & johnson;47
unitedhealth;49
visa;49
procter & gamble;49
home depot;49
paypal;49
disney;49
adobe;49
bank of america;49
mastercard;49
comcast;49
pfizer;49
netflix;49
salesforce;49
cisco;49
exxon mobil;49
verizon;36
abbott laboratories;49
thermo fisher scientific;49
coca-cola;49
accenture;49
pepsico;49
intel;49
danaher;49
nike;49
eli lilly;49
walmart;49
costco;49
broadcom;49
abbvie;49
at&t;49
merck & co;49
chevron;49
wells fargo;49
medtronic;46
mcdonalds;49
texas instruments;40
nextera energy;49
philip morris;49
oracle;49
apple;49
microsoft;49
amazon;49
facebook;49
google;49
nvidia;49
tesla;49
berkshire hathaway;49
jpmorgan chase;49
johnson & johnson;49
unitedhealth;49
visa;49
procter & gamble;49
home depot;49
paypal;49
disney;49
adobe;49
bank of america;49
mastercard;49
comcast;49
pfizer;49
netflix;49
salesforce;49
cisco;49
exxon mobil;49
verizon;46
abbott laboratories;49
thermo fisher scientific;49
coca-cola;49
accenture;49
pepsico;49
intel;49
danaher;49
nike;49
eli lilly;49
walmart;49
costco;49
broadcom;49
abbvie;49
at&t;49
merck & co;49
chevron;49
wells fargo;49
medtronic;49
mcdonalds;49
texas instruments;49
nextera energy;49
philip morris;49
oracle;49
apple;49
microsoft;49
amazon;49
facebook;49
google;49
nvidia;49
tesla;49
berkshire hathaway;49
jpmorgan chase;49
johnson & johnson;49
unitedhealth;49
visa;49
procter & gamble;49
home depot;49
paypal;49
disney;49
adobe;49
bank of america;49
mastercard;49
comcast;49
pfizer;49
netflix;49
salesforce;49
cisco;49
exxon mobil;49
verizon;49
abbott laboratories;49
thermo fisher scientific;49
coca-cola;49
accenture;49
pepsico;49
intel;49
danaher;49
nike;49
eli lilly;49
walmart;49
costco;49
broadcom;49
abbvie;49
at&t;49
merck & co;49
chevron;49
wells fargo;49
medtronic;49
mcdonalds;49
texas instruments;49
nextera energy;49
philip morris;49
oracle;49
